ProblemSize,Runtime
0,0.0007999999999119822
1,0.0012999999999818712
2,0.0016999999999933735
3,0.0011999999999234845
4,0.00109999999997612
5,0.001400000000040258
6,0.001600000000046009
7,0.0015999999999349868
8,0.001600000000046009
9,0.0014999999999876223
10,0.002500000000016378
11,0.0027999999999694936
12,0.0031000000000336314
13,0.0021000000000048757
14,0.002700000000022129
15,0.002800000000080516
16,0.002500000000016378
17,0.002700000000022129
18,0.0042000000000097515
19,0.005699999999997374
20,0.016100000000074388
21,0.0029999999999752447
22,0.0033000000000393825
23,0.0032999999999283602
24,0.0033000000000393825
25,0.005799999999833716
26,0.0065999999998567205
27,0.0036000000001035204
28,0.004400000000126525
29,0.0065999999998567205
30,0.007000000000090267
31,0.00660000000030081
32,0.007800000000113272
33,0.004099999999951365
34,0.00439999999990448
35,0.00439999999990448
36,0.004300000000512227
37,0.004899999996865745
38,0.004400000001680837
39,0.004599999996912629
